,actual_epochs,dataset.name,dataset.samples_train,gradient_norm_test,gradient_norm_train,log_dir,loss_test,loss_train,model.batch_size,model.epochs,model.error_threshold,model.hidden_size,model.init_scale,model.iteration,model.learning_rate,model.model_id,model.name,model.path_length_f_reg_coef,path_length_d_test,path_length_d_train,path_length_f_test,path_length_f_train,weights_product,weights_rms
45,969,mnist26,10000,0.6952615976333618,0.6584986448287964,./d.n=mnist26_m.plfrc=0,0.028654303401708603,1.2008540579699911e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist26_m.plfrc=0,shallow,0.0,2.7076876163482666,2.814894199371338,1.2604057788848877,1.3236703872680664,15.178731918334961,0.014584405683055891
46,922,mnist56,10000,0.8093752264976501,0.7636908888816833,./d.n=mnist56_m.plfrc=0,0.03705639764666557,1.0523526725592092e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist56_m.plfrc=0,shallow,0.0,3.2516908645629883,3.230970621109009,1.1781694889068604,1.2638225555419922,19.868480682373047,0.016522483571438405
47,1007,mnist58,10000,0.9294081926345825,0.8567995429039001,./d.n=mnist58_m.plfrc=0,0.04646756872534752,3.4538494219304994e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist58_m.plfrc=0,shallow,0.0,3.756187915802002,3.9041759967803955,1.3493603467941284,1.3480147123336792,21.765331268310547,0.01890364334799061
48,873,mnist05,10000,0.7100692987442017,0.6590579748153687,./d.n=mnist05_m.plfrc=0,0.02023191750049591,2.0050421881023794e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist05_m.plfrc=0,shallow,0.0,2.513040065765381,2.5902934074401855,1.2090893983840942,1.1693581342697144,14.817756652832031,0.01546744850011451
49,1214,mnist59,10000,0.776278555393219,0.7195641994476318,./d.n=mnist59_m.plfrc=0,0.033521004021167755,7.461180757672992e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist59_m.plfrc=0,shallow,0.0,3.220895290374756,3.24558687210083,1.2350430488586426,1.2002513408660889,18.752300262451172,0.01630964060042793
50,1222,mnist48,10000,0.8013487458229065,0.7699998617172241,./d.n=mnist48_m.plfrc=0,0.022182347252964973,4.6063691115705296e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist48_m.plfrc=0,shallow,0.0,2.981400489807129,3.059412956237793,1.2994575500488281,1.2825783491134644,17.505905151367188,0.016863296464616782
51,1264,mnist04,10000,0.48619818687438965,0.449779212474823,./d.n=mnist04_m.plfrc=0,0.009831217117607594,8.726339729037136e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist04_m.plfrc=0,shallow,0.0,1.9916820526123047,1.9302116632461548,1.14927077293396,1.1545082330703735,10.706212997436523,0.012564563790503863
52,1256,mnist39,10000,0.7960588335990906,0.7442286610603333,./d.n=mnist39_m.plfrc=0,0.036212239414453506,8.10887650004588e-06,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist39_m.plfrc=0,shallow,0.0,3.031440019607544,3.10176157951355,1.1959258317947388,1.2280356884002686,20.66094970703125,0.017008993510736196
53,1419,mnist08,10000,0.5969283580780029,0.5319610238075256,./d.n=mnist08_m.plfrc=0,0.021162640303373337,2.6097643058164977e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist08_m.plfrc=0,shallow,0.0,2.257272958755493,2.2804980278015137,1.2072030305862427,1.1885364055633545,15.222969055175781,0.014778937126685179
54,1411,mnist15,10000,0.6142668724060059,0.5844546556472778,./d.n=mnist15_m.plfrc=0,0.008647271431982517,2.9583005016320385e-05,64,10000,1e-05,256,0.01,0,0.1,d.n=mnist15_m.plfrc=0,shallow,0.0,2.326887845993042,2.3415510654449463,1.1365537643432617,1.1133276224136353,10.719179153442383,0.012256389889301925
